municipality,rescore,title,h1,url,hasAmount,hasTarget,hasDeadline,strongHit,snippet
"松阪市","48","健康・医療","健康・医療","https://www.city.matsusaka.mie.jp/life/9/38/","true","true","true","補助金|支援金|手当","ク ごみ・リサイクル コミュニティ交通 上下水道 環境 人権・多様性社会 防災・安全・消費生活情報 マイナンバー オンライン申請 ちゃちゃマップ まつさかゼロカーボン 健康・福祉・医療 健康保険 健康・医療 福祉 国民年金 介護保険 高齢者福祉 障がい福祉 市民病院 健康センターはるる 子育て・教育 妊娠・出産 保育園・幼稚園 子どもの健康・教室 ひとり親 手当・助成 施設・相談 教育・学校 松阪市の子育て情報サイト 観光・文化・スポーツ 生涯学習・公民館・図書館 観光情報 "
"松阪市","48","福祉","福祉","https://www.city.matsusaka.mie.jp/life/9/39/","true","true","true","補助金|支援金|手当","ク ごみ・リサイクル コミュニティ交通 上下水道 環境 人権・多様性社会 防災・安全・消費生活情報 マイナンバー オンライン申請 ちゃちゃマップ まつさかゼロカーボン 健康・福祉・医療 健康保険 健康・医療 福祉 国民年金 介護保険 高齢者福祉 障がい福祉 市民病院 健康センターはるる 子育て・教育 妊娠・出産 保育園・幼稚園 子どもの健康・教室 ひとり親 手当・助成 施設・相談 教育・学校 松阪市の子育て情報サイト 観光・文化・スポーツ 生涯学習・公民館・図書館 観光情報 "
"松阪市","48","子育て","子育て","https://www.city.matsusaka.mie.jp/life/8/24/122/","true","true","true","補助金|支援金|手当","ク ごみ・リサイクル コミュニティ交通 上下水道 環境 人権・多様性社会 防災・安全・消費生活情報 マイナンバー オンライン申請 ちゃちゃマップ まつさかゼロカーボン 健康・福祉・医療 健康保険 健康・医療 福祉 国民年金 介護保険 高齢者福祉 障がい福祉 市民病院 健康センターはるる 子育て・教育 妊娠・出産 保育園・幼稚園 子どもの健康・教室 ひとり親 手当・助成 施設・相談 教育・学校 松阪市の子育て情報サイト 観光・文化・スポーツ 生涯学習・公民館・図書館 観光情報 "
"松阪市","46","国民年金","国民年金","https://www.city.matsusaka.mie.jp/life/9/40/","true","true","true","補助金|給付金|支援金|手当","ク ごみ・リサイクル コミュニティ交通 上下水道 環境 人権・多様性社会 防災・安全・消費生活情報 マイナンバー オンライン申請 ちゃちゃマップ まつさかゼロカーボン 健康・福祉・医療 健康保険 健康・医療 福祉 国民年金 介護保険 高齢者福祉 障がい福祉 市民病院 健康センターはるる 子育て・教育 妊娠・出産 保育園・幼稚園 子どもの健康・教室 ひとり親 手当・助成 施設・相談 教育・学校 松阪市の子育て情報サイト 観光・文化・スポーツ 生涯学習・公民館・図書館 観光情報 "
"松阪市","46","妊娠・出産","妊娠・出産","https://www.city.matsusaka.mie.jp/life/10/46/","true","true","true","補助金|支援金|手当|医療費助成","ク ごみ・リサイクル コミュニティ交通 上下水道 環境 人権・多様性社会 防災・安全・消費生活情報 マイナンバー オンライン申請 ちゃちゃマップ まつさかゼロカーボン 健康・福祉・医療 健康保険 健康・医療 福祉 国民年金 介護保険 高齢者福祉 障がい福祉 市民病院 健康センターはるる 子育て・教育 妊娠・出産 保育園・幼稚園 子どもの健康・教室 ひとり親 手当・助成 施設・相談 教育・学校 松阪市の子育て情報サイト 観光・文化・スポーツ 生涯学習・公民館・図書館 観光情報 "
"松阪市","45","税金","税金","https://www.city.matsusaka.mie.jp/life/8/26/","true","true","true","補助金|支援金|手当","ク ごみ・リサイクル コミュニティ交通 上下水道 環境 人権・多様性社会 防災・安全・消費生活情報 マイナンバー オンライン申請 ちゃちゃマップ まつさかゼロカーボン 健康・福祉・医療 健康保険 健康・医療 福祉 国民年金 介護保険 高齢者福祉 障がい福祉 市民病院 健康センターはるる 子育て・教育 妊娠・出産 保育園・幼稚園 子どもの健康・教室 ひとり親 手当・助成 施設・相談 教育・学校 松阪市の子育て情報サイト 観光・文化・スポーツ 生涯学習・公民館・図書館 観光情報 "
"松阪市","45","市営住宅・建築開発・空家等対策","市営住宅・建築開発・空家等対策","https://www.city.matsusaka.mie.jp/life/8/28/","true","true","true","補助金|支援金|手当","ク ごみ・リサイクル コミュニティ交通 上下水道 環境 人権・多様性社会 防災・安全・消費生活情報 マイナンバー オンライン申請 ちゃちゃマップ まつさかゼロカーボン 健康・福祉・医療 健康保険 健康・医療 福祉 国民年金 介護保険 高齢者福祉 障がい福祉 市民病院 健康センターはるる 子育て・教育 妊娠・出産 保育園・幼稚園 子どもの健康・教室 ひとり親 手当・助成 施設・相談 教育・学校 松阪市の子育て情報サイト 観光・文化・スポーツ 生涯学習・公民館・図書館 観光情報 "
"松阪市","45","子どもの健康・教室","子どもの健康・教室","https://www.city.matsusaka.mie.jp/life/10/48/","true","true","true","補助金|支援金|手当","ク ごみ・リサイクル コミュニティ交通 上下水道 環境 人権・多様性社会 防災・安全・消費生活情報 マイナンバー オンライン申請 ちゃちゃマップ まつさかゼロカーボン 健康・福祉・医療 健康保険 健康・医療 福祉 国民年金 介護保険 高齢者福祉 障がい福祉 市民病院 健康センターはるる 子育て・教育 妊娠・出産 保育園・幼稚園 子どもの健康・教室 ひとり親 手当・助成 施設・相談 教育・学校 松阪市の子育て情報サイト 観光・文化・スポーツ 生涯学習・公民館・図書館 観光情報 "
"松阪市","45","子育て施設・相談","子育て施設・相談","https://www.city.matsusaka.mie.jp/life/10/51/","true","true","true","補助金|支援金|手当","ク ごみ・リサイクル コミュニティ交通 上下水道 環境 人権・多様性社会 防災・安全・消費生活情報 マイナンバー オンライン申請 ちゃちゃマップ まつさかゼロカーボン 健康・福祉・医療 健康保険 健康・医療 福祉 国民年金 介護保険 高齢者福祉 障がい福祉 市民病院 健康センターはるる 子育て・教育 妊娠・出産 保育園・幼稚園 子どもの健康・教室 ひとり親 手当・助成 施設・相談 教育・学校 松阪市の子育て情報サイト 観光・文化・スポーツ 生涯学習・公民館・図書館 観光情報 "
"松阪市","45","生涯学習・公民館・図書館","生涯学習・公民館・図書館","https://www.city.matsusaka.mie.jp/life/11/54/","true","true","true","補助金|支援金|手当","ク ごみ・リサイクル コミュニティ交通 上下水道 環境 人権・多様性社会 防災・安全・消費生活情報 マイナンバー オンライン申請 ちゃちゃマップ まつさかゼロカーボン 健康・福祉・医療 健康保険 健康・医療 福祉 国民年金 介護保険 高齢者福祉 障がい福祉 市民病院 健康センターはるる 子育て・教育 妊娠・出産 保育園・幼稚園 子どもの健康・教室 ひとり親 手当・助成 施設・相談 教育・学校 松阪市の子育て情報サイト 観光・文化・スポーツ 生涯学習・公民館・図書館 観光情報 "
