municipalityCode,municipalityName,score,candidateScore,title,url,snippet
21203,高山市,23,19,"環境配慮行動促進事業補助金について",https://www.city.takayama.lg.jp/kurashi/1000024/1000130/1017857.html,"環境配慮行動促進事業補助金について｜高山市 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 サイト内検索 やさしいにほんご もとにもどす Select Language About translation "
21203,高山市,23,19,"保育職のたまご支援事業補助金のご案内",https://www.city.takayama.lg.jp/kurashi/1000019/1020166/1000113/1021680.html,"保育職のたまご支援事業補助金のご案内｜高山市 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 サイト内検索 やさしいにほんご もとにもどす Select Language About translation"
21203,高山市,23,23,"高山市東京圏からの移住支援金",https://www.city.takayama.lg.jp/shisei/1015214/1010749.html,"．支給対象者の要件 次に掲げる事項のすべてに該当すること。 高山市内の中小企業等に就業する、または高山市内で起業すること。 市内の法人、団体、個人の最低2者以上から、地域とのかかわりを有するとして推薦されていること。 岐阜県又は高山市が実施する移住定住施策への協力の意思があること。 2．地域の担い手の確保の要件 次に掲げる事項のいずれかに該当すること。 農業、林業、漁業、情報サービス業又はインターネット附随サービス業に就業又は起業する者"
21204,多治見市,23,19,"自主防災組織支援事業補助金",https://www.city.tajimi.lg.jp/kurashi_tetsuduzuki/bosai_bohan/1005897/1005931/1005937.html,"自主防災組織支援事業補助金｜多治見市公式ホームページ 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 サイトマップ Foreign language English &#31616;&#20307;&#20"
21204,多治見市,23,19,"ブロック塀等除去補助金",https://www.city.tajimi.lg.jp/kurashi_tetsuduzuki/bosai_bohan/1005897/1005931/1005938.html,"ブロック塀等除去補助金｜多治見市公式ホームページ 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 サイトマップ Foreign language English &#31616;&#20307;&#2001"
21204,多治見市,19,19,"防災行政無線戸別受信機設置事業補助金",https://www.city.tajimi.lg.jp/kurashi_tetsuduzuki/bosai_bohan/1005897/1005931/1005939.html,"防災行政無線戸別受信機設置事業補助金｜多治見市公式ホームページ 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 サイトマップ Foreign language English &#31616;&#20307"
21205,関市,19,5,"物価高騰対策事業「水道基本料金の免除」12月請求分まで延長",https://www.city.seki.lg.jp/0000022258.html,"・生活 道路・河川 農林業 雇用・就労 ごみ・リサイクル 防犯・交通安全 消防 上下水道 税金 相談・補助制度 市民参加・協働 生涯学習 スポーツ 主な施設 交通・アクセス 地理情報（GIS） オープンデータ 公示送達 子ども・教育 関市子育てガイドブック 妊娠から出産 子育て 子育てへの助成 子どもと家庭の相談 教育の支援・相談 ひとり親家庭 保育園・幼稚園 小・中・高・大学校 関市地域クラブ 健康・福祉・医療 新型コロナウイルス 健"
21201,岐阜市,15,10,"医療費助成",https://www.city.gifu.lg.jp/kenko/iryouhijosei/index.html,"ー 健康・福祉 健康・福祉 トップ 閉じる 感染症・予防接種 健診・検査 医療・薬事 介護保険 高齢者福祉 障がい福祉 後期高齢者医療制度 国民健康保険 社会福祉 健康づくり 健康相談・疾病対策 医療費助成 指導監査 生活にお困りの方 災害支援 ひきこもり相談 岐阜市くらしのガイド 岐阜市柳ケ瀬健康運動施設 ウゴクテ 観光・文化・ スポーツ 観光・文化・スポーツ トップ 閉じる 観光 イベント・講座 文化財・史跡 国際・多文化 ボランテ"
21201,岐阜市,15,12,"企業支援・産業振興・補助金",https://www.city.gifu.lg.jp/business/sangyoushinkou/index.html,"企業支援・産業振興・補助金｜岐阜市公式ホームページ-Gifu city 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 Foreign language Afrikaans Albanian Amharic"
21201,岐阜市,15,8,"補助金",https://www.city.gifu.lg.jp/info/hojokin/index.html,"補助金｜岐阜市公式ホームページ-Gifu city 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 Foreign language Afrikaans Albanian Amharic Arabic Ar"
