municipality,score,strong,hasAmount,hasTarget,hasDeadline,title,url,snippet
"御殿場市","70","5","true","true","true","","https://www.city.gotemba.lg.jp/kenkou/","健康・福祉・子育て Skip to content メニュー キーワードを入力して探す メニューから探す ホーム 防災･安全 くらし 健康･福祉 子育て 教育･文化 スポーツ 御殿場の魅力 産業･ビジネス 行政情報 よくある質問 文字サイズ・色合い変更 ホーム &nbsp;&gt; 健康・福祉・子育て 健康・福祉・子育て 健康・福祉・子育てのお知らせ 一覧表示 2026年07月09日 ごてんば健康づくりの日のお知らせ 無線放送 NEW 2026年06月30日 がん検診実施のお知らせ 無線放送 2026年06月26日"
"湖西市","66","6","false","true","false","","https://www.city.kosai.shizuoka.jp/kosodate_kyoiku/kosodate/index.html","子育て／湖西市 スマートフォン版を表示 本文へ 文字サイズ 背景色 Select Language もしもの時は 目的別でさがす 年齢別でさがす 市ウェブサイトへ menu close もしもの時は 目的別でさがす 年齢別でさがす 市ウェブサイトへ 文字サイズ 背景色変更 Select Language PC版を見る 閉じる 目的別でさがす 年齢別でさがす 妊娠 妊娠 湖西市子育てガイドブック 母子健康手帳の交付から3歳児健診までの流れ 母子健康手帳交付 妊婦健康診査 妊娠期パパママ講座 あかちゃんのお世話体験講座"
"下田市","62","5","false","true","true","下田市の子育て支援","https://www.city.shimoda.shizuoka.jp/category/040200kosodate_ouen/155004.html","下田市の子育て支援 | 下田市 本文へのスキップリンク 設定 探す メニュー 閉じる 文字サイズ 標準 拡大 言語選択 くらし・手続き 子育て・教育 健康・福祉・医療 産業・観光 市政情報 くらし・手続き くらし・手続き 子育て・教育 子育て・教育 健康・福祉・医療 健康・福祉・医療 産業・観光 産業・観光 市政情報 市政情報 ホーム 子育て・教育 子育て支援 下田市の子育て支援 下田市の子育て支援 ●年齢からさがす ●目的からさがす ●その他 妊娠・出産 出産までの準備 母子健康手帳 母子健康手帳交付時にマイナン"
"裾野市","62","4","false","true","true","補助金","https://www.city.susono.shizuoka.jp/mokuteki/hojokin/index.html","補助金／裾野市 本文へ Select Language 文字サイズ変更 背景色変更 市の組織 よくある質問 お問い合わせ くらし・手続き 子育て・教育 健康・福祉 観光・文化・スポーツ まちづくり・建築 産業・ビジネス 市政情報 Select Language メニュー くらし・手続き 子育て・教育 健康・福祉 観光・文化・スポーツ まちづくり・建築 産業・ビジネス 市政情報 閉じる 現在の位置 裾野市公式ウェブサイト 目的で探す 補助金 補助金 裾野市移住・就業支援金 生活 感震ブレーカー設置補助事業 住まい 感"
"湖西市","52","4","false","true","true","各課連絡先","https://www.city.kosai.shizuoka.jp/shiseijoho/6119.html","各課連絡先／湖西市 スマートフォン版を表示 本文へ 文字サイズ 背景色 Select Language くらし・手続き 子育て・教育 健康・福祉 産業・しごと 観光・文化・ スポーツ 市政情報 Select Language ホーム くらし・手続き 子育て・教育 健康・福祉 産業・しごと 観光・文化・スポーツ 市政情報 PC版を表示 メニューを閉じる 現在のページ ホーム 市政情報 各課連絡先 各課連絡先 更新日：2026年05月20日 総務部 （ 総務課 / 財政課 / 契約検査室 / 税務課 ） 企画部 （ 企"
"裾野市","52","4","false","true","true","健康・福祉","https://www.city.susono.shizuoka.jp/kenko/index.html","健康・福祉／裾野市 本文へ Select Language 文字サイズ変更 背景色変更 市の組織 よくある質問 お問い合わせ くらし・手続き 子育て・教育 健康・福祉 観光・文化・スポーツ まちづくり・建築 産業・ビジネス 市政情報 Select Language メニュー くらし・手続き 子育て・教育 健康・福祉 観光・文化・スポーツ まちづくり・建築 産業・ビジネス 市政情報 閉じる 現在の位置 裾野市公式ウェブサイト 健康・福祉 健康・福祉 新着情報 NEW! 現在、新着情報はございません。 健康・医療 子ど"
"裾野市","52","4","false","true","true","子育て支援","https://www.city.susono.shizuoka.jp/mokuteki/kosodate/index.html","子育て支援／裾野市 本文へ Select Language 文字サイズ変更 背景色変更 市の組織 よくある質問 お問い合わせ くらし・手続き 子育て・教育 健康・福祉 観光・文化・スポーツ まちづくり・建築 産業・ビジネス 市政情報 Select Language メニュー くらし・手続き 子育て・教育 健康・福祉 観光・文化・スポーツ まちづくり・建築 産業・ビジネス 市政情報 閉じる 現在の位置 裾野市公式ウェブサイト 目的で探す 子育て支援 子育て支援 子育て支援 令和7年10月受診分からこども医療費助成制度"
"袋井市","52","4","false","true","true","電子申請（オンライン申請）","https://www.city.fukuroi.shizuoka.jp/soshiki/ict/ict_system/denshishinsei/1422533626721.html","電子申請（オンライン申請）／袋井市 スマートフォン版を表示 本文へ 音声読み上げ Select Language Português ：ポルトガル語 Việt ：ベトナム語 简体中文 ：中国語(簡体) 繁體中文 ：中国語(繁体) English ：英語 Español ：スペイン語 한국어 ：韓国語 日本語 ：日本語 Go ルビふり ルビをけす やさしい日本語 やさしい日本語をけす 組織から探す 文字 サイズ 背景色 変更 くらし・手続き 子育て・教育 健康・医療・福祉 観光・文化・スポーツ 事業者向け 市政情報 "
"御殿場市","50","3","true","true","true","","https://www.city.gotemba.lg.jp/kyouiku/","教育・文化・スポーツ Skip to content メニュー キーワードを入力して探す メニューから探す ホーム 防災･安全 くらし 健康･福祉 子育て 教育･文化 スポーツ 御殿場の魅力 産業･ビジネス 行政情報 よくある質問 文字サイズ・色合い変更 ホーム &nbsp;&gt; 教育・文化・スポーツ 教育・文化・スポーツ 教育・文化・スポーツのお知らせ 一覧表示 2026年07月06日 「富士山市民のサロン けやきかん」全館貸切のお知らせ 無線放送 2026年07月06日 御殿場市民会館自主事業「みくりやジャ"
"下田市","42","3","false","true","true","子育て・教育","https://www.city.shimoda.shizuoka.jp/category/kosodate_kyouiku/index.html","子育て・教育 | 下田市 本文へのスキップリンク 設定 探す メニュー 閉じる 文字サイズ 標準 拡大 言語選択 くらし・手続き 子育て・教育 健康・福祉・医療 産業・観光 市政情報 くらし・手続き くらし・手続き 子育て・教育 子育て・教育 健康・福祉・医療 健康・福祉・医療 産業・観光 産業・観光 市政情報 市政情報 ホーム 子育て・教育 子育て・教育 サブカテゴリ お母さんと子どもの健康管理 子育て支援 ひとり親家庭 妊娠・出産 手当・助成など 保育所（園）・こども園 入園・入学 学校・給食 施設案内 教育委"
"下田市","42","3","false","true","true","健康・福祉・医療","https://www.city.shimoda.shizuoka.jp/category/030000kenkou_hoken/index.html","健康・福祉・医療 | 下田市 本文へのスキップリンク 設定 探す メニュー 閉じる 文字サイズ 標準 拡大 言語選択 くらし・手続き 子育て・教育 健康・福祉・医療 産業・観光 市政情報 くらし・手続き くらし・手続き 子育て・教育 子育て・教育 健康・福祉・医療 健康・福祉・医療 産業・観光 産業・観光 市政情報 市政情報 ホーム 健康・福祉・医療 健康・福祉・医療 サブカテゴリ 国民健康保険 国民年金 医療機関 大人の健康管理 高齢者 介護保険 後期高齢者医療 社会福祉・地域福祉 障害者福祉 コンテンツ 地域包"
"御殿場市","42","3","false","true","true","","https://www.city.gotemba.lg.jp/sangyou/","産業・ビジネス Skip to content メニュー キーワードを入力して探す メニューから探す ホーム 防災･安全 くらし 健康･福祉 子育て 教育･文化 スポーツ 御殿場の魅力 産業･ビジネス 行政情報 よくある質問 文字サイズ・色合い変更 ホーム &nbsp;&gt; 産業・ビジネス 産業・ビジネス 産業・ビジネスのお知らせ 一覧表示 2026年07月14日 集約化構想の作成に向けた協議の実施について NEW 2026年07月07日 乙女森林公園キャンプ場電話回線復旧のお知らせ 2026年06月30日 【"
"裾野市","42","3","false","true","true","産業・ビジネス","https://www.city.susono.shizuoka.jp/sangyo/index.html","産業・ビジネス／裾野市 本文へ Select Language 文字サイズ変更 背景色変更 市の組織 よくある質問 お問い合わせ くらし・手続き 子育て・教育 健康・福祉 観光・文化・スポーツ まちづくり・建築 産業・ビジネス 市政情報 Select Language メニュー くらし・手続き 子育て・教育 健康・福祉 観光・文化・スポーツ まちづくり・建築 産業・ビジネス 市政情報 閉じる 現在の位置 裾野市公式ウェブサイト 産業・ビジネス 産業・ビジネス 新着情報 NEW! 現在、新着情報はございません。 入札"
"裾野市","42","3","false","true","true","保険・年金","https://www.city.susono.shizuoka.jp/mokuteki/hoken_nenkin/index.html","保険・年金／裾野市 本文へ Select Language 文字サイズ変更 背景色変更 市の組織 よくある質問 お問い合わせ くらし・手続き 子育て・教育 健康・福祉 観光・文化・スポーツ まちづくり・建築 産業・ビジネス 市政情報 Select Language メニュー くらし・手続き 子育て・教育 健康・福祉 観光・文化・スポーツ まちづくり・建築 産業・ビジネス 市政情報 閉じる 現在の位置 裾野市公式ウェブサイト 目的で探す 保険・年金 保険・年金 国民健康保険 令和8年度から始まる「子ども・子育て支援金"
